,title,year,rating_x,rating_y,releaseYear_x,imdbId,releaseYear_y,list_plataform
0,The Godfather,1972,9.0,4.39,1972.0,tt0068646,1972.0,"['Prime Video', 'Netflix']"
1,The Godfather: Part II,1974,8.9,3.92,0.0,tt0000000,0.0,
2,The Shawshank Redemption,1994,8.6,4.48,1994.0,tt0111161,1994.0,['Netflix']
3,Witness for the Prosecution,1957,8.6,4.07,1957.0,tt0051201,1957.0,['Apple TV']
4,Schindler's List,1993,8.6,4.34,1993.0,tt0108052,1993.0,"['Apple TV', 'Netflix']"
5,Game of Thrones,2011,8.5,4.44,0.0,tt0000000,0.0,
6,Psycho,1960,8.4,3.81,1960.0,tt0054215,1960.0,"['Apple TV', 'Prime Video']"
7,One Flew Over the Cuckoo's Nest,1975,8.3,4.20,1975.0,tt0073486,1975.0,['Apple TV']
8,The Grapes of Wrath,1940,8.3,4.01,0.0,tt0000000,0.0,
9,To Kill a Mockingbird,1962,8.3,4.26,1962.0,tt0056592,1962.0,['Prime Video']
10,Apocalypse Now,1979,8.2,3.72,1979.0,tt0078788,1979.0,['Prime Video']
11,Rebecca,1940,8.2,4.25,2020.0,tt2235695,2020.0,['Netflix']
12,Forrest Gump,1994,8.2,4.02,1994.0,tt0109830,1994.0,"['Netflix', 'Prime Video']"
13,The Lord of the Rings: The Return of the King,2003,8.2,4.62,2003.0,tt0167260,2003.0,"['Apple TV', 'Prime Video', 'Max']"
14,The Pianist,2002,8.2,4.25,2002.0,tt0253474,2002.0,"['Prime Video', 'Disney+', 'Apple TV']"
15,The Shining,1980,8.2,4.28,1980.0,tt0081505,1980.0,['Max']
16,A Clockwork Orange,1971,8.2,really liked it 4.00,0.0,tt0000000,0.0,
17,The Silence of the Lambs,1991,8.2,4.25,1991.0,tt0102926,1991.0,"['Apple TV', 'Prime Video']"
18,The Holy Innocents,1984,8.1,3.61,1984.0,tt0088040,1984.0,"['Apple TV', 'Prime Video', 'Netflix']"
19,Blade Runner,1982,8.1,3.61,0.0,tt0000000,0.0,
20,Fight Club,1999,8.1,4.18,1999.0,tt0137523,1999.0,"['Netflix', 'Prime Video', 'Disney+']"
21,Trainspotting,1996,8.1,4.11,1996.0,tt0117951,1996.0,"['Apple TV', 'Prime Video']"
22,Mystic River,2003,8.0,4.17,2003.0,tt0327056,2003.0,"['Netflix', 'Apple TV']"
23,The Lord of the Rings: The Fellowship of the Ring,2001,8.0,4.65,2001.0,tt0120737,2001.0,"['Prime Video', 'Apple TV', 'Max']"
24,The Lord of the Rings: The Two Towers,2002,8.0,4.67,2002.0,tt0167261,2002.0,"['Apple TV', 'Prime Video', 'Max']"
25,Ben-Hur,1959,7.9,4.03,2016.0,tt2638144,2016.0,"['Prime Video', 'Apple TV']"
26,Gone with the Wind,1939,7.9,4.31,1939.0,tt0031381,1939.0,['Max']
27,Barry Lyndon,1975,7.9,3.62,1975.0,tt0072684,1975.0,['Prime Video']
28,The Green Mile,1999,7.9,4.48,1999.0,tt0120689,1999.0,['Apple TV']
29,Doctor Zhivago,1965,7.9,4.01,1965.0,tt0059113,1965.0,"['Apple TV', 'Prime Video']"
30,2001: A Space Odyssey,1968,7.8,4.17,1968.0,tt0062622,1968.0,"['Max', 'Apple TV', 'Prime Video']"
31,The Leopard,1963,7.8,4.01,1963.0,tt0057091,1963.0,['Pluto TV']
