,title,rating,releaseYear
0, The Godfather,4.39,1969
1, The Godfather Part II,3.92,unknown
2, The Lord of the Rings: The Return of the King,4.62,2003
3, The Lord of the Rings: The Fellowship of the Ring,4.65,2001
4, Forrest Gump,4.02,1986
5, The Lord of the Rings: The Two Towers,4.67,unknown
6, Fight Club,4.18,1996
7, One Flew Over the Cuckoo's Nest,4.20,1962
8, The Silence of the Lambs,4.25,1988
9, The Green Mile,4.48,1996
10, Psycho,3.81,1991
11, Grave of the Fireflies,4.06,1967
12, The Prestige,3.92,1995
13, Harakiri,4.22,unknown
14, Dune: Part Two,4.53,unknown
15, Apocalypse Now,3.72,2013
16, Paths of Glory,4.01,2009
17, The Shining,4.28,1977
18, Dr,3.83,1886
19, Das Boot,4.25,1973
20, High and Low,4.05,1838
21, 3 Idiots,4.27,unknown
22, Once Upon a Time in America,3.94,1952
23, Requiem for a Dream,4.11,1978
24, Scarface,4.10,2020
25, Double Indemnity,4.06,1936
26, Vertigo,3.94,1994
27, Oppenheimer,4.32,2005
28, Full Metal Jacket,4.05,2005
29, A Clockwork Orange,really liked it 4.00,1962
30, To Kill a Mockingbird,4.26,1960
31, Die Hard,3.53,1979
32, Metropolis,4.38,2018
33, L,4.26,1960
34, Bicycle Thieves,3.31,1946
35, Shutter Island,4.12,2003
36, There Will Be Blood,4.04,2014
37, Jurassic Park,4.11,1990
38, No Country for Old Men,4.16,2005
39, The Wild Robot,4.17,2016
40, The Treasure of the Sierra Madre,4.10,1935
41, Yojimbo,4.15,1987
42, Howl's Moving Castle,4.29,1986
43, Gone with the Wind,4.31,1936
44, The Secret in Their Eyes,4.01,2005
45, Trainspotting,4.11,1993
46, The Bridge on the River Kwai,3.95,1952
47, Catch Me If You Can,4.04,1980
48, Harry Potter and the Deathly Hallows: Part 2,4.67,2011
49, Ben-Hur,4.03,1880
50, Barry Lyndon,3.62,1844
51, Blade Runner,3.61,1995
52, Gone Girl,4.14,2012
53, Jaws,3.95,1974
54, How to Train Your Dragon,3.93,unknown
55, The Wages of Fear,3.67,1950
56, Room,4.08,2010
57, The Best Years of Our Lives,0.00,unknown
58, The Exorcist,4.20,1971
59, The Wizard of Oz,really liked it 4.00,1900
60, The Handmaiden,3.71,2007
61, The Iron Giant,3.88,1968
62, The Grapes of Wrath,4.01,1939
63, Rebecca,4.25,1938
64, The Help,4.47,2009
65, Cool Hand Luke,4.14,1965
