,title,year,rating
0,The Godfather,1972,9.0
1,The Godfather: Part II,1974,8.9
2,The Shawshank Redemption,1994,8.6
3,Witness for the Prosecution,1957,8.6
4,Schindler's List,1993,8.6
5,Game of Thrones,2011,8.5
6,Psycho,1960,8.4
7,One Flew Over the Cuckoo's Nest,1975,8.3
8,The Grapes of Wrath,1940,8.3
9,To Kill a Mockingbird,1962,8.3
10,Apocalypse Now,1979,8.2
11,Rebecca,1940,8.2
12,Forrest Gump,1994,8.2
13,The Lord of the Rings: The Return of the King,2003,8.2
14,The Pianist,2002,8.2
15,The Shining,1980,8.2
16,A Clockwork Orange,1971,8.2
17,The Silence of the Lambs,1991,8.2
18,The Holy Innocents,1984,8.1
19,Blade Runner,1982,8.1
20,Fight Club,1999,8.1
21,Trainspotting,1996,8.1
22,Mystic River,2003,8.0
23,The Lord of the Rings: The Fellowship of the Ring,2001,8.0
24,The Lord of the Rings: The Two Towers,2002,8.0
25,Ben-Hur,1959,7.9
26,Gone with the Wind,1939,7.9
27,Barry Lyndon,1975,7.9
28,The Green Mile,1999,7.9
29,Doctor Zhivago,1965,7.9
30,2001: A Space Odyssey,1968,7.8
31,The Leopard,1963,7.8
32,Pride and Prejudice,1995,7.8
33,The Name of the Rose,1986,7.8
34,In Cold Blood,1967,7.7
35,The Exorcist,1973,7.7
36,Breakfast at Tiffany's,1961,7.6
37,Bram Stoker's Dracula,1992,7.6
38,Shutter Island,2010,7.6
39,Misery,1990,7.5
40,The Bridges of Madison County,1995,7.5
41,Lolita,1962,7.5
42,Stand by Me,1986,7.3
43,The Notebook,2004,7.3
44,Fahrenheit 451,1966,7.3
45,Moby Dick,1956,7.3
46,Gone Girl,2014,7.3
47,The Constant Gardener,2005,7.3
48,Interview With the Vampire,1994,7.2
49,Dune,2021,7.2
50,The Reader,2008,7.2
51,No Country for Old Men,2007,7.2
52,The Hours,2002,7.2
53,Les Misérables,2012,7.2
54,The Perks of Being a Wallflower,2012,7.1
55,Pride and Prejudice,2005,7.1
56,Sense and Sensibility,1995,7.1
57,Jurassic Park,1993,7.1
58,The Girl with the Dragon Tattoo,2011,7.0
59,Carrie,1976,7.0
60,Murder on the Orient Express,1974,7.0
61,The Pillars of the Earth,2010,7.0
62,Harry Potter and the Deathly Hallows: Part II,2011,7.0
63,The Hobbit: An Unexpected Journey,2012,7.0
64,The Boy in the Striped Pajamas,2008,6.9
65,Harry Potter and the Prisoner of Azkaban,2004,6.9
66,Atonement,2007,6.9
67,The NeverEnding Story,1984,6.9
68,Like Water for Chocolate,1992,6.9
69,Memoirs of a Geisha,2005,6.9
70,The Talented Mr. Ripley,1999,6.8
71,Jane Eyre,2011,6.8
72,Harry Potter and the Sorcerer's Stone,2001,6.8
73,Perfume: The Story of a Murderer,2006,6.7
74,The Hobbit: The Desolation of Smaug,2013,6.7
75,Millennium: Part 1 - Men Who Hate Women,2009,6.7
76,Harry Potter and the Goblet of Fire,2005,6.6
77,Harry Potter and the Deathly Hallows: Part I,2010,6.6
78,The Road,2009,6.6
79,Charlie and the Chocolate Factory,2005,6.6
80,The Fault in Our Stars,2014,6.6
81,Harry Potter and the Chamber of Secrets,2002,6.5
82,The Mist,2007,6.4
83,The Hunger Games: Catching Fire,2013,6.4
84,Harry Potter and the Half-Blood Prince,2009,6.4
85,1984,1984,6.4
86,Harry Potter and the Order of the Phoenix,2007,6.4
87,The Merchant of Venice,2004,6.4
88,The Hobbit: The Battle of the Five Armies,2014,6.3
89,The House of the Spirits,1993,6.3
90,The Great Gatsby,2013,6.2
91,The Hunger Games,2012,6.2
92,Angels & Demons,2009,6.1
93,It,1990,5.8
94,"The Chronicles of Narnia: The Lion, The Witch and the Wardrobe",2005,5.8
95,The Da Vinci Code,2006,5.7
96,Divergent,2014,5.5
97,Twilight,2008,4.8
98,The Twilight Saga: Eclipse,2010,4.7
99,The Twilight Saga: New Moon,2009,4.6
