,title,imdbId,releaseYear,list_plataform
0,The Godfather,tt0068646,1972,"['Prime Video', 'Netflix']"
1,The Godfather Part II,tt0071562,1974,['Prime Video']
2,The Lord of the Rings: The Return of the King,tt0167260,2003,"['Apple TV', 'Prime Video', 'Max']"
3,The Lord of the Rings: The Fellowship of the Ring,tt0120737,2001,"['Prime Video', 'Apple TV', 'Max']"
4,Forrest Gump,tt0109830,1994,"['Netflix', 'Prime Video']"
5,The Lord of the Rings: The Two Towers,tt0167261,2002,"['Apple TV', 'Prime Video', 'Max']"
6,Fight Club,tt0137523,1999,"['Netflix', 'Prime Video', 'Disney+']"
7,One Flew Over the Cuckoo's Nest,tt0073486,1975,['Apple TV']
8,The Silence of the Lambs,tt0102926,1991,"['Apple TV', 'Prime Video']"
9,The Green Mile,tt0120689,1999,['Apple TV']
10,Psycho,tt0054215,1960,"['Apple TV', 'Prime Video']"
11,Grave of the Fireflies,tt0095327,1988,['Netflix']
12,The Prestige,tt0482571,2006,['Prime Video']
13,Harakiri,tt0056058,1962,['Apple TV']
14,Dune: Part Two,tt15239678,2024,"['Max', 'Prime Video']"
15,Apocalypse Now,tt0078788,1979,['Prime Video']
16,Paths of Glory,tt0050825,1957,['Apple TV']
17,The Shining,tt0081505,1980,['Max']
18,Another Round,tt10288566,2020,"['Apple TV', 'Prime Video']"
19,The Damned,tt0039615,1947,"['Apple TV', 'Prime Video']"
20,High and Low,tt0057565,1963,"['Apple TV', 'Prime Video']"
21,Once Upon a Time in America,tt0087843,1984,['Disney+']
22,Requiem for the American Dream,tt3270538,2015,['Apple TV']
23,Captain Scarface,tt0045604,1953,['Apple TV']
24,Double Indemnity,tt0036775,1944,['Prime Video']
25,Vertical Limit,tt0190865,2000,['Prime Video']
26,Oppenheimer,tt15398776,2023,['Prime Video']
27,Full Metal Jacket,tt0093058,1987,['Prime Video']
28,To Kill a Mockingbird,tt0056592,1962,['Prime Video']
29,Die Hard,tt0095016,1988,"['Disney+', 'Prime Video', 'Apple TV']"
30,Zootopia,tt2948356,2016,"['Apple TV', 'Disney+', 'Prime Video']"
31,The Lord of the Rings: The Fellowship of the Ring,tt0120737,2001,"['Prime Video', 'Apple TV', 'Max']"
32,Bicycle Thieves,tt0040522,1948,['Prime Video']
33,Shutter Island,tt1130884,2010,"['Apple TV', 'Prime Video']"
34,There Will Be Blood,tt0469494,2007,['Prime Video']
35,Jurassic Park,tt0107290,1993,"['Netflix', 'Prime Video']"
36,No Country for Old Men,tt0477348,2007,"['Apple TV', 'Prime Video']"
37,Into the Wild,tt0758758,2007,['Apple TV']
38,The Treasure of the Sierra Madre,tt0040897,1948,['Prime Video']
39,Yojimbo,tt0055630,1961,['Prime Video']
40,Howl's Moving Castle,tt0347149,2004,['Netflix']
41,Gone with the Wind,tt0031381,1939,['Max']
42,The Secret in Their Eyes,tt1305806,2009,"['Prime Video', 'Netflix']"
43,Trainspotting,tt0117951,1996,"['Apple TV', 'Prime Video']"
44,The Bridge on the River Kwai,tt0050212,1957,['Prime Video']
45,Catch Me If You Can,tt0264464,2002,"['Apple TV', 'Pluto TV', 'Prime Video']"
46,Harry Potter and the Deathly Hallows: Part 2,tt1201607,2011,"['Prime Video', 'Apple TV', 'Max']"
47,Ben-Hur,tt2638144,2016,"['Prime Video', 'Apple TV']"
48,Barry Lyndon,tt0072684,1975,['Prime Video']
49,Blade Runner 2049,tt1856101,2017,"['Prime Video', 'Apple TV', 'Netflix']"
50,Gone Girl,tt2267998,2014,"['Apple TV', 'Prime Video', 'Disney+']"
51,Jaws,tt0073195,1975,"['Prime Video', 'Apple TV', 'Netflix']"
52,How to Train Your Dragon,tt0892769,2010,"['Apple TV', 'Prime Video']"
53,The Wages of Fear,tt0046268,1953,['Prime Video']
54,Room,tt3170832,2015,"['Apple TV', 'Prime Video']"
55,The Best Summer of Our Lives,tt11681730,2020,"['Apple TV', 'Prime Video']"
56,The Exorcist,tt0070047,1973,"['Max', 'Netflix']"
57,The Wizard of Oz,tt0032138,1939,['Max']
58,The Iron Giant,tt0129167,1999,['Prime Video']
59,"Aguirre, the Wrath of God",tt0068182,1972,['Prime Video']
60,Rebecca,tt2235695,2020,['Netflix']
61,The Help,tt1454029,2011,"['Apple TV', 'Disney+', 'Prime Video']"
62,Cool Hand Luke,tt0061512,1967,['Prime Video']
